"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000198851.9",56.5332388384881,1.30513072193734,0.201590104099295,6.47418050488474,9.53278885231504e-11,1.86652005728328e-06
"ENSG00000161405.16",59.7420910998275,1.23788672011406,0.221224192250746,5.59562092879505,2.19833554037461e-08,0.000215217049402674
"ENSG00000232091.1",103.047988428569,-3.27977385558367,0.601263077457432,-5.45480668703771,4.90261512424411e-08,0.000319977347108999
"ENSG00000166104.14",30.5670973958289,-2.44981348476197,0.461027764086728,-5.31380900587391,1.07357142476195e-07,0.000525513212420977
"ENSG00000006747.14",82.2313846316025,1.28340599583014,0.252505335226214,5.08268862786747,3.72129455212315e-07,0.00135401415656423
"ENSG00000182866.16",42.1503088823772,0.99841576984625,0.197962830808682,5.04345066075131,4.57210700797558e-07,0.00135401415656423
"ENSG00000198286.9",117.014577785109,0.843607417853031,0.167631162009861,5.03252144612232,4.8407043390958e-07,0.00135401415656423
"ENSG00000142512.14",112.503601224237,2.30253508185977,0.460231825230018,5.00298970135104,5.64479576155705e-07,0.00138156376264109
"ENSG00000116824.4",47.1036977994064,1.17630933685502,0.238104221147351,4.94031282262341,7.79973351269205e-07,0.001696875357539
"ENSG00000105419.17",141.921188225461,0.661471380948851,0.134465241870035,4.9192740945514,8.686575819253e-07,0.00170083154540974
"ENSG00000180448.10",527.172010508332,0.655461282644607,0.134533043699153,4.87212111331078,1.10406449562442e-06,0.00196523480221146
"ENSG00000275302.1",37.4779839231208,1.34153210594863,0.276808451135981,4.84642755827423,1.25704458070364e-06,0.00203912453280163
"ENSG00000275367.1",83.3518435184828,-1.66428689896754,0.344453096201633,-4.83167931227803,1.35386204935757e-06,0.00203912453280163
"ENSG00000132938.19",809.699808688674,-1.2583155564255,0.262276875887817,-4.7976610677783,1.60529111679862e-06,0.00224511429049407
"ENSG00000132821.11",82.921475492393,1.06213008189077,0.224057586129632,4.74043347622363,2.13261465405766e-06,0.0027837729950966
"ENSG00000132906.17",3537.81641063783,-1.50462373742184,0.320391362538282,-4.69620568264244,2.65038665566121e-06,0.00306471788631316
"ENSG00000159164.9",120.827848694293,0.78765024195658,0.167749430546808,4.6953974114195,2.66088886962838e-06,0.00306471788631316
"ENSG00000168065.15",20.8148679932002,2.05020953201076,0.441980077590014,4.63869218538073,3.50620801888422e-06,0.0038139751672085
"ENSG00000105122.12",128.034136762482,0.785413770816336,0.171042482889764,4.59192217948876,4.39182142425817e-06,0.00442253817712961
"ENSG00000151224.12",3677.73295546043,-1.38972727615523,0.303034521175888,-4.58603617423705,4.51740365386068e-06,0.00442253817712961
"ENSG00000099998.17",826.214141849346,0.825536683665265,0.180608580130102,4.5708608254967,4.85724800676595e-06,0.00444641019010235
"ENSG00000154153.13",2120.38045899098,-1.18038249699369,0.258574722169862,-4.5649570348113,4.99596650573298e-06,0.00444641019010235
"ENSG00000188452.13",58.3250155059474,0.843025006906211,0.187257492859175,4.50195607147318,6.73309001090982e-06,0.00573190880059193
"ENSG00000197712.11",1383.40017966131,-0.396002125365387,0.0882421407318987,-4.48767586643822,7.20043671251145e-06,0.00587435628462393
"ENSG00000203837.4",33.95772474794,-2.30016061867664,0.514927721219867,-4.46695822323868,7.93396158721226e-06,0.00621387871510464
"ENSG00000088756.12",325.312534061685,-0.587010742226798,0.132148514850613,-4.44205326779785,8.91044932279729e-06,0.00649188646432776
"ENSG00000140798.15",35.940544625534,-3.90698651399706,0.882715729181119,-4.42609821581123,9.59528491980338e-06,0.00649188646432776
"ENSG00000277734.7",70.005195230805,1.03496046691369,0.23406084137856,4.4217582950571,9.79009385594764e-06,0.00649188646432776
"ENSG00000116014.9",55.0551662068457,-3.07260248659572,0.695326845391334,-4.41893263141084,9.9189557989417e-06,0.00649188646432776
"ENSG00000105246.5",26.3632743821136,1.55573789508377,0.352110046354902,4.41832861967163,9.94671061950117e-06,0.00649188646432776
